Gemeindename;Fläche km2 1);insgesamt;männlich;weiblich;je km2;Post-leit-zahl3);Längengrad;Breitengrad;Column1;Reisegebiete;Grad der Verstädterung;
Kalbach;70,63; 6 323; 3 214; 3 109;  90;36148;9,640881;50,423848;I11;Rhön;gering besiedelt;
Weiden i.d.OPf.;70,57; 42 520; 20 542; 21 978;  603;92637;12,160209;49,676076;T16;Oberpfälzer Wald;mittlere Besiedlungsdichte;
Engen, Stadt;70,56; 10 796; 5 390; 5 406;  153;78234;8,772115;47,854017;L73;Hegau;mittlere Besiedlungsdichte;
Lamspringe;70,50; 5 627; 2 799; 2 828;  80;31195;10,008627;51,957723;G11;Hannover-Hildesheim;gering besiedelt;
Lüneburg, Hansestadt;70,50; 75 351; 36 324; 39 027; 1 069;21335;10,408793;53,249157;G09;Lüneburger Heide;dicht besiedelt;
Tecklenburg, Stadt;70,49; 9 145; 4 601; 4 544;  130;49545;7,814244;52,219392;H03;Münsterland;gering besiedelt;
Vöhrenbach, Stadt;70,47; 3 853; 1 956; 1 897;  55;78147;8,304492;48,045545;L12;Mittlerer Schwarzwald;gering besiedelt;
Hörsel;70,44; 4 753; 2 369; 2 384;  67;99880;10,585192;50,919757;E28;Thüringer Wald;gering besiedelt;
Moosthenning;70,40; 4 917; 2 574; 2 343;  70;84164;12,497842;48,676792;T41;Bayerisches Golf- und Thermenland;gering besiedelt;
Rüdersdorf bei Berlin;70,39; 15 696; 7 931; 7 765;  223;15562;13,784895;52,471348;A06;Seenland Oder-Spree;mittlere Besiedlungsdichte;
Hilders, Marktgemeinde;70,37; 4 687; 2 331; 2 356;  67;36115;10,002214;50,572246;I11;Rhön;gering besiedelt;
Schlüsselfeld, St;70,24; 5 941; 3 093; 2 848;  85;96132;10,619344;49,756792;T14;Steigerwald;gering besiedelt;
Taufkirchen (Vils);70,18; 10 107; 5 139; 4 968;  144;84416;12,131513;48,346437;T24;Münchener Umland;gering besiedelt;
Groitzsch, Stadt;70,17; 7 550; 3 616; 3 934;  108;04539;12,281022;51,154307;C07;Sächsisches Burgen- und Heideland;mittlere Besiedlungsdichte;
Bad Griesbach i.Rottal, St;70,13; 9 055; 4 487; 4 568;  129;94086;13,192962;48,451913;T41;Bayerisches Golf- und Thermenland;gering besiedelt;
Leer (Ostfriesland), Stadt;70,11; 34 486; 17 303; 17 183;  492;26789;7,451416;53,22947;G03;Ostfriesland;mittlere Besiedlungsdichte;
Memmingen;70,11; 43 837; 21 710; 22 127;  625;87700;10,184968;47,988445;T21;Allgäu;mittlere Besiedlungsdichte;
Diepenau, Flecken;70,05; 3 862; 1 967; 1 895;  55;31603;8,732764;52,421591;G08;Mittelweser;gering besiedelt;
Bad Lausick, Stadt;70,03; 8 005; 3 915; 4 090;  114;04651;12,640283;51,144619;C07;Sächsisches Burgen- und Heideland;mittlere Besiedlungsdichte;
Friedrichshafen, Stadt;69,93; 60 865; 30 236; 30 629;  870;88045;9,479614;47,652205;L72;Bodensee;dicht besiedelt;
Bad Kissingen, GKSt;69,92; 22 444; 10 415; 12 029;  321;97688;10,078935;50,199823;T10;Rhön;mittlere Besiedlungsdichte;
Eitorf;69,90; 18 727; 9 320; 9 407;  268;53783;7,449515;50,769915;H08;Bonn und Rhein-Sieg-Kreis;mittlere Besiedlungsdichte;
Frankenhardt;69,86; 4 843; 2 473; 2 370;  69;74586;9,980093;49,081875;L40;Nördliches Baden-Württemberg;gering besiedelt;
Lahr/Schwarzwald, Stadt;69,84; 46 797; 23 307; 23 490;  670;77933;7,874292;48,339132;L12;Mittlerer Schwarzwald;mittlere Besiedlungsdichte;
Laichingen, Stadt;69,83; 11 731; 5 985; 5 746;  168;89150;9,685733;48,489445;L60;Schwäbische Alb;mittlere Besiedlungsdichte;
Todtnau, Stadt;69,75; 4 894; 2 434; 2 460;  70;79674;7,947591;47,82939;L13;Südlicher Schwarzwald;gering besiedelt;
Vierlinden;69,74; 1 444;  733;  711;  21;15306;14,27109;52,522048;A06;Seenland Oder-Spree;gering besiedelt;
Stockach, Stadt;69,73; 17 114; 8 439; 8 675;  245;78333;9,00899;47,848855;L73;Hegau;mittlere Besiedlungsdichte;
Rheinbach, Stadt;69,72; 27 063; 13 429; 13 634;  388;53359;6,947218;50,626425;H08;Bonn und Rhein-Sieg-Kreis;mittlere Besiedlungsdichte;
Halle (Westf.), Stadt;69,70; 21 640; 10 739; 10 901;  310;33790;8,362;52,061011;H04;Teutoburger Wald;mittlere Besiedlungsdichte;
Hohenhameln;69,59; 9 201; 4 587; 4 614;  132;31249;10,062749;52,258403;G12;Braunschweiger Land;gering besiedelt;
Gotha, Stadt;69,58; 45 733; 22 677; 23 056;  657;99867;10,70337;50,948759;E28;Thüringer Wald;mittlere Besiedlungsdichte;
Passau;69,56; 52 469; 25 344; 27 125;  754;94030;13,420113;48,569343;T41;Bayerisches Golf- und Thermenland;dicht besiedelt;
Südmüritz;69,52;  884;  445;  439;  13;17207;12,66452;53,378734;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Bad Königshofen i.Grabfeld, St;69,51; 5 984; 2 909; 3 075;  86;97631;10,467271;50,299384;T08;Haßberge;gering besiedelt;
Bestwig;69,48; 10 687; 5 380; 5 307;  154;59909;8,398158;51,36108;H05;Sauerland;mittlere Besiedlungsdichte;
Heek;69,43; 8 681; 4 403; 4 278;  125;48619;7,111581;52,116177;H03;Münsterland;mittlere Besiedlungsdichte;
Schluchsee;69,43; 2 518; 1 236; 1 282;  36;79859;8,179958;47,818958;L13;Südlicher Schwarzwald;gering besiedelt;
Ellrich, Stadt;69,41; 5 543; 2 727; 2 816;  80;99755;10,665677;51,587555;E19;Südharz Kyffhäuser;gering besiedelt;
Kargow;69,40;  679;  335;  344;  10;17192;12,780172;53,51158;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Wardow;69,39; 1 320;  680;  640;  19;18299;12,410105;53,928103;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Trendelburg, Stadt;69,37; 4 911; 2 446; 2 465;  71;34388;9,430291;51,575491;I01;Kassel- Land;gering besiedelt;
Monheim, St;69,33; 5 093; 2 608; 2 485;  73;86653;10,855355;48,841433;T22;Bayerisch-Schwaben;gering besiedelt;
Großheide;69,32; 8 557; 4 277; 4 280;  123;26532;7,343594;53,592272;G03;Ostfriesland;gering besiedelt;
Tauberbischofsheim, Stadt;69,29; 13 231; 6 546; 6 685;  191;97941;9,662778;49,622047;L40;Nördliches Baden-Württemberg;mittlere Besiedlungsdichte;
Müllrose, Stadt;69,23; 4 630; 2 245; 2 385;  67;15299;14,414235;52,245406;A06;Seenland Oder-Spree;gering besiedelt;
Baumholder, Stadt;69,19; 4 203; 2 002; 2 201;  61;55774;7,336809;49,615797;J15;Naheland;gering besiedelt;
Behren-Lübchin;69,19;  917;  484;  433;  13;17179;12,664874;54,02899;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Cavertitz;69,16; 2 242; 1 137; 1 105;  32;04758;13,127338;51,386506;C07;Sächsisches Burgen- und Heideland;gering besiedelt;
Burkardroth, M;69,15; 7 428; 3 703; 3 725;  107;97705;9,994308;50,268196;T10;Rhön;gering besiedelt;
Everswinkel;69,12; 9 666; 4 757; 4 909;  140;48351;7,848037;51,925521;H03;Münsterland;mittlere Besiedlungsdichte;
Oberkirch, Stadt;69,10; 20 066; 10 006; 10 060;  290;77704;8,077097;48,531805;L12;Mittlerer Schwarzwald;mittlere Besiedlungsdichte;
Malente;69,07; 10 773; 5 224; 5 549;  156;23714;10,554871;54,171225;F03;Holsteinische Schweiz;mittlere Besiedlungsdichte;
Markneukirchen, Stadt;69,06; 7 583; 3 728; 3 855;  110;08258;12,328041;50,311884;C09;Vogtland;mittlere Besiedlungsdichte;
Wurzen, Stadt;69,03; 16 154; 7 740; 8 414;  234;04808;12,735166;51,369968;C07;Sächsisches Burgen- und Heideland;mittlere Besiedlungsdichte;
Groß Köris;69,02; 2 338; 1 140; 1 198;  34;15746;13,655728;52,159665;A07;Dahme-Seenland;gering besiedelt;
Tuntenhausen;68,99; 7 150; 3 681; 3 469;  104;83104;12,016415;47,935796;T38;Chiemsee-Alpenland;gering besiedelt;
Schipkau;68,94; 6 703; 3 286; 3 417;  97;01998;13,899221;51,518499;A14;Lausitzer Seenland;gering besiedelt;
Bückeburg, Stadt;68,90; 19 245; 9 299; 9 946;  279;31675;9,050444;52,260372;G10;Weserbergland;mittlere Besiedlungsdichte;
Weidenberg, M;68,90; 5 772; 2 831; 2 941;  84;95466;11,722766;49,941314;T02;Fichtelgebirge;gering besiedelt;
Overath, Stadt;68,88; 27 040; 13 331; 13 709;  393;51491;7,282487;50,933092;H07;Bergisches Land;mittlere Besiedlungsdichte;
Pocking, St;68,86; 15 967; 7 799; 8 168;  232;94060;13,310359;48,400369;T41;Bayerisches Golf- und Thermenland;mittlere Besiedlungsdichte;
Vilsbiburg, St;68,84; 12 074; 6 090; 5 984;  175;84137;12,357548;48,451397;T41;Bayerisches Golf- und Thermenland;mittlere Besiedlungsdichte;
Bad Birnbach, M;68,83; 5 777; 2 796; 2 981;  84;84361;13,089951;48,444071;T41;Bayerisches Golf- und Thermenland;gering besiedelt;
Schöppingen;68,81; 6 820; 3 620; 3 200;  99;48624;7,235057;52,093571;H03;Münsterland;gering besiedelt;
Schortens, Stadt;68,80; 20 329; 9 909; 10 420;  295;26419;7,948406;53,540474;G03;Ostfriesland;mittlere Besiedlungsdichte;
Kempen, Stadt;68,80; 34 597; 16 794; 17 803;  503;47906;6,418755;51,364493;H02;Niederrhein;mittlere Besiedlungsdichte;
Münchberg, St;68,78; 10 215; 4 897; 5 318;  149;95213;11,789604;50,191502;T02;Fichtelgebirge;mittlere Besiedlungsdichte;
Preußisch Oldendorf, Stadt;68,76; 12 289; 6 019; 6 270;  179;32361;8,495612;52,306051;H04;Teutoburger Wald;gering besiedelt;
Ebensfeld, M;68,72; 5 593; 2 836; 2 757;  81;96250;10,958925;50,067019;T42;Obermain.Jura;gering besiedelt;
Floh-Seligenthal;68,71; 5 900; 2 896; 3 004;  86;98593;10,480412;50,754223;E28;Thüringer Wald;gering besiedelt;
Michendorf;68,70; 12 726; 6 186; 6 540;  185;14552;13,028498;52,309633;A11;Fläming;mittlere Besiedlungsdichte;
Walkendorf;68,70;  886;  452;  434;  13;17179;12,551583;53,952946;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Liebschützberg;68,67; 2 945; 1 482; 1 463;  43;04758;13,184519;51,314586;C07;Sächsisches Burgen- und Heideland;gering besiedelt;
Zusmarshausen, M;68,60; 6 378; 3 243; 3 135;  93;86441;10,596714;48,398719;T22;Bayerisch-Schwaben;gering besiedelt;
Alfdorf;68,52; 7 085; 3 584; 3 501;  103;73553;9,718908;48,843821;L50;Region Stuttgart;gering besiedelt;
Titz;68,51; 8 361; 4 151; 4 210;  122;52445;6,428861;51,007289;H01;Eifel und Region Aachen;gering besiedelt;
Markt Indersdorf, M;68,40; 10 441; 5 254; 5 187;  153;85229;11,373487;48,361167;T24;Münchener Umland;mittlere Besiedlungsdichte;
Zschepplin;68,36; 2 848; 1 431; 1 417;  42;04838;12,603693;51,501903;C07;Sächsisches Burgen- und Heideland;gering besiedelt;
Seubersdorf i.d.OPf.;68,28; 5 157; 2 579; 2 578;  76;92358;11,625141;49,163524;T40;Bayerischer Jura;gering besiedelt;
Kutenholz;68,25; 4 642; 2 330; 2 312;  68;27449;9,322712;53,481264;G04;Unterelbe-Unterweser;gering besiedelt;
Hohenthann;68,24; 4 170; 2 187; 1 983;  61;84098;12,092887;48,659528;T41;Bayerisches Golf- und Thermenland;gering besiedelt;
Wust-Fischbeck;68,15; 1 257;  636;  621;  18;39524;12,114724;52,54883;D05;Altmark;gering besiedelt;
Windsbach, St;68,12; 6 018; 3 116; 2 902;  88;91575;10,826729;49,248426;T04;Fränkisches Seenland;gering besiedelt;
Nördlingen, GKSt;68,09; 20 379; 10 093; 10 286;  299;86720;10,49277;48,847442;T22;Bayerisch-Schwaben;mittlere Besiedlungsdichte;
Unterschneidheim;68,07; 4 740; 2 469; 2 271;  70;73485;10,365761;48,942;L60;Schwäbische Alb;gering besiedelt;
Achim, Stadt;68,06; 31 911; 15 502; 16 409;  469;28832;9,033031;53,01301;G08;Mittelweser;mittlere Besiedlungsdichte;
Wolfach, Stadt;67,98; 5 850; 2 953; 2 897;  86;77709;8,222231;48,298549;L12;Mittlerer Schwarzwald;mittlere Besiedlungsdichte;
Ziesar, Stadt;67,95; 2 443; 1 199; 1 244;  36;14793;12,289639;52,266957;A11;Fläming;gering besiedelt;
Schopfheim, Stadt;67,94; 19 645; 9 573; 10 072;  289;79650;7,822962;47,650141;L13;Südlicher Schwarzwald;mittlere Besiedlungsdichte;
Strausberg, Stadt;67,94; 26 587; 12 750; 13 837;  391;15344;13,881977;52,579644;A06;Seenland Oder-Spree;mittlere Besiedlungsdichte;
Kamern;67,84; 1 206;  650;  556;  18;39524;12,112871;52,748794;D05;Altmark;gering besiedelt;
Willich, Stadt;67,80; 50 592; 24 696; 25 896;  746;47877;6,550043;51,262542;H02;Niederrhein;mittlere Besiedlungsdichte;
Öhringen, Stadt;67,79; 24 374; 12 071; 12 303;  360;74613;9,501119;49,200104;L40;Nördliches Baden-Württemberg;mittlere Besiedlungsdichte;
Münstertal/Schwarzwald;67,74; 5 110; 2 541; 2 569;  75;79244;7,784148;47,854495;L13;Südlicher Schwarzwald;gering besiedelt;
Bischofsheim a.d.Rhön, St;67,70; 4 825; 2 371; 2 454;  71;97653;10,008969;50,400975;T10;Rhön;gering besiedelt;
Sternberg, Stadt;67,70; 4 157; 1 995; 2 162;  61;19406;11,828186;53,711133;B04;Westmecklenburg;gering besiedelt;
Moers, Stadt;67,68; 103 725; 50 368; 53 357; 1 533;47441;6,628027;51,453559;H02;Niederrhein;dicht besiedelt;
Hemer, Stadt;67,66; 34 080; 16 820; 17 260;  504;58675;7,765233;51,385395;H05;Sauerland;mittlere Besiedlungsdichte;
Dinkelscherben, M;67,66; 6 425; 3 219; 3 206;  95;86424;10,590678;48,347727;T22;Bayerisch-Schwaben;gering besiedelt;
Oberelsbach, M;67,65; 2 655; 1 332; 1 323;  39;97656;10,119621;50,440597;T10;Rhön;gering besiedelt;
Gründau;67,60; 14 649; 7 218; 7 431;  217;63584;9,137636;50,209015;I12;Spessart-Kinzigtal-Vogelsberg;mittlere Besiedlungsdichte;
Straubing;67,59; 47 794; 24 117; 23 677;  707;94315;12,572499;48,875878;T41;Bayerisches Golf- und Thermenland;mittlere Besiedlungsdichte;
Erbendorf, St;67,56; 5 085; 2 520; 2 565;  75;92677;12,048098;49,838063;T16;Oberpfälzer Wald;gering besiedelt;
Kröpelin, Stadt;67,54; 4 784; 2 382; 2 402;  71;18236;11,796062;54,071022;B03;Mecklenburgische Ostseeküste;gering besiedelt;
Hagenow, Stadt;67,54; 12 137; 6 028; 6 109;  180;19230;11,192521;53,432045;B04;Westmecklenburg;mittlere Besiedlungsdichte;
Schloß Holte-Stukenbrock, Stadt;67,52; 26 776; 13 225; 13 551;  397;33758;8,656299;51,912069;H04;Teutoburger Wald;mittlere Besiedlungsdichte;
Görlitz, Stadt;67,52; 56 324; 27 177; 29 147;  834;02826;14,988035;51,155287;C03;Oberlausitz/Niederschlesien;dicht besiedelt;
Volkmarsen, Stadt;67,47; 6 804; 3 382; 3 422;  101;34471;9,114575;51,412606;I02;Waldecker Land;gering besiedelt;
Kirchenthumbach, M;67,42; 3 241; 1 665; 1 576;  48;91281;11,724506;49,749394;T16;Oberpfälzer Wald;gering besiedelt;
Greifenstein;67,40; 6 673; 3 334; 3 339;  99;35753;8,291417;50,62267;I08;Lahn-Dill;gering besiedelt;
Hahnbach, M;67,38; 4 920; 2 500; 2 420;  73;92256;11,80264;49,533838;T40;Bayerischer Jura;gering besiedelt;
Müden (Aller);67,37; 5 341; 2 671; 2 670;  79;38539;10,362484;52,525594;G09;Lüneburger Heide;gering besiedelt;
Rosenbach/Vogtl.;67,34; 4 177; 2 069; 2 108;  62;08539;12,037253;50,546309;C09;Vogtland;gering besiedelt;
Rauschenberg, Stadt;67,32; 4 395; 2 200; 2 195;  65;35282;8,914798;50,883471;I07;Marburg-Biedenkopf;gering besiedelt;
Kürten;67,29; 19 768; 9 677; 10 091;  294;51515;7,264225;51,051583;H07;Bergisches Land;mittlere Besiedlungsdichte;
Emskirchen, M;67,29; 6 038; 3 097; 2 941;  90;91448;10,717297;49,551754;T14;Steigerwald;gering besiedelt;
Bad Salzdetfurth, Stadt;67,20; 13 145; 6 442; 6 703;  196;31162;10,007627;52,063403;G11;Hannover-Hildesheim;mittlere Besiedlungsdichte;
Pattensen, Stadt;67,13; 14 636; 7 101; 7 535;  218;30982;9,761472;52,26395;G11;Hannover-Hildesheim;mittlere Besiedlungsdichte;
Wangels;67,12; 2 167; 1 122; 1 045;  32;23758;10,763598;54,271569;F02;Ostsee;gering besiedelt;
Drolshagen, Stadt;67,11; 11 779; 5 968; 5 811;  176;57489;7,775835;51,024727;H05;Sauerland;mittlere Besiedlungsdichte;
Völklingen, Stadt;67,10; 39 374; 19 197; 20 177;  587;66333;6,85431;49,249592;K03;Übriges Saarland;mittlere Besiedlungsdichte;
Altmärkische Wische;67,09;  852;  430;  422;  13;39615;11,876835;52,857082;D05;Altmark;gering besiedelt;
Niederkrüchten;67,07; 15 550; 7 657; 7 893;  232;41372;6,219216;51,19862;H02;Niederrhein;mittlere Besiedlungsdichte;
Furth im Wald, St;67,06; 9 093; 4 577; 4 516;  136;93437;12,842882;49,308018;T15;Bayerischer Wald;mittlere Besiedlungsdichte;
Taunusstein, Stadt;67,02; 30 005; 14 574; 15 431;  448;65232;8,159175;50,143382;I14;Rheingau-Taunus;mittlere Besiedlungsdichte;
Kronach, St;66,98; 16 874; 8 230; 8 644;  252;96317;11,325279;50,239015;T07;Frankenwald;mittlere Besiedlungsdichte;
Dassow, Stadt;66,97; 4 042; 2 063; 1 979;  60;23942;10,977683;53,908548;B03;Mecklenburgische Ostseeküste;gering besiedelt;
Heringen/Helme, Stadt;66,91; 4 737; 2 398; 2 339;  71;99765;10,875723;51,447014;E19;Südharz Kyffhäuser;gering besiedelt;
Bayreuth;66,89; 74 657; 36 469; 38 188; 1 116;95410;11,571349;49,945574;T02;Fichtelgebirge;dicht besiedelt;
Trebel;66,85;  972;  481;  491;  15;29494;11,318234;52,995463;G09;Lüneburger Heide;gering besiedelt;
Babenhausen, Stadt;66,85; 16 834; 8 378; 8 456;  252;64832;8,95236;49,962864;I15;Odenwald-Bergstrasse-Neckartal;mittlere Besiedlungsdichte;
Ringgau;66,80; 2 884; 1 475; 1 409;  43;37296;10,092751;51,093843;I03;Werra-Meissner Land;gering besiedelt;
Berge;66,78; 3 547; 1 786; 1 761;  53;49626;7,747579;52,621017;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;gering besiedelt;
Zittau, Stadt;66,75; 25 381; 12 432; 12 949;  380;02763;14,806367;50,896384;C03;Oberlausitz/Niederschlesien;mittlere Besiedlungsdichte;
Helmstedt, Stadt;66,74; 25 728; 12 572; 13 156;  385;38350;11,010462;52,227571;G12;Braunschweiger Land;mittlere Besiedlungsdichte;
Putbus, Stadt;66,69; 4 364; 2 140; 2 224;  65;18581;13,47642;54,35431;B01;Rügen/Hiddensee;gering besiedelt;
Rötz, St;66,67; 3 383; 1 725; 1 658;  51;92444;12,531008;49,342287;T15;Bayerischer Wald;gering besiedelt;
Bautzen, Stadt;66,67; 39 087; 18 960; 20 127;  586;02625;14,427688;51,180868;C03;Oberlausitz/Niederschlesien;mittlere Besiedlungsdichte;
Lommatzsch, Stadt;66,63; 4 879; 2 378; 2 501;  73;01623;13,30862;51,196631;C05;Sächsisches Elbland;gering besiedelt;
Dallgow-Döberitz;66,55; 9 931; 4 897; 5 034;  149;14624;13,082659;52,535741;A12;Havelland;mittlere Besiedlungsdichte;
Rosdorf;66,53; 11 949; 5 942; 6 007;  180;37124;9,896257;51,506056;G13;Harz;mittlere Besiedlungsdichte;
Waldsassen, St;66,53; 6 694; 3 300; 3 394;  101;95652;12,30533;50,003499;T16;Oberpfälzer Wald;mittlere Besiedlungsdichte;
Recklinghausen, Stadt;66,50; 112 267; 54 592; 57 675; 1 688;45657;7,197544;51,614576;H11;Ruhrgebiet;dicht besiedelt;
Falkenberg;66,50; 3 778; 1 899; 1 879;  57;84326;12,729995;48,462535;T41;Bayerisches Golf- und Thermenland;gering besiedelt;
Klietz;66,46; 1 750;  970;  780;  26;39524;12,068475;52,667498;D05;Altmark;gering besiedelt;
Hechingen, Stadt;66,41; 19 324; 9 551; 9 773;  291;72379;8,962947;48,351487;L60;Schwäbische Alb;mittlere Besiedlungsdichte;
Nonnweiler;66,40; 8 477; 4 286; 4 191;  128;66620;6,970552;49,606237;K01;Nordsaarland;gering besiedelt;
Pressath, St;66,34; 4 349; 2 128; 2 221;  66;92690;11,935175;49,769201;T16;Oberpfälzer Wald;gering besiedelt;
Naumburg, Stadt;66,32; 5 028; 2 446; 2 582;  76;34311;9,164889;51,247294;I01;Kassel- Land;gering besiedelt;
Oberried;66,32; 2 873; 1 466; 1 407;  43;79254;7,945766;47,932544;L13;Südlicher Schwarzwald;gering besiedelt;
Ankum;66,30; 7 562; 3 740; 3 822;  114;49577;7,871286;52,541026;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;mittlere Besiedlungsdichte;
Rehlingen;66,25;  758;  388;  370;  11;21385;10,220029;53,106401;G09;Lüneburger Heide;gering besiedelt;
Neukirchen, Stadt;66,25; 6 986; 3 496; 3 490;  105;34626;9,342803;50,871054;I05;Kurhessisches Bergland;gering besiedelt;
Nörvenich;66,21; 10 459; 5 164; 5 295;  158;52388;6,644576;50,807107;H01;Eifel und Region Aachen;gering besiedelt;
Gramzow;66,20; 1 836;  927;  909;  28;17291;14,006976;53,210716;A03;Uckermark;gering besiedelt;
Elsdorf, Stadt;66,17; 21 663; 10 599; 11 064;  327;50189;6,567973;50,936059;H09;Köln und Rhein-Erft-Kreis;mittlere Besiedlungsdichte;
Datteln, Stadt;66,10; 34 614; 16 949; 17 665;  524;45711;7,342615;51,653082;H11;Ruhrgebiet;mittlere Besiedlungsdichte;
Kall;66,07; 11 264; 5 545; 5 719;  170;53925;6,558667;50,542174;H01;Eifel und Region Aachen;mittlere Besiedlungsdichte;
Wernberg-Köblitz, M;66,06; 5 650; 2 860; 2 790;  86;92533;12,161587;49,539573;T16;Oberpfälzer Wald;gering besiedelt;
Oderaue;65,91; 1 613;  815;  798;  24;16259;14,162889;52,765114;A06;Seenland Oder-Spree;gering besiedelt;
Garz/Rügen, Stadt;65,89; 2 194; 1 091; 1 103;  33;18574;13,352371;54,316745;B01;Rügen/Hiddensee;gering besiedelt;
Landshut;65,83; 72 404; 35 403; 37 001; 1 100;84026;12,15892;48,538623;T41;Bayerisches Golf- und Thermenland;dicht besiedelt;
Lindern (Oldenburg);65,80; 4 905; 2 529; 2 376;  75;49699;7,779913;52,844711;G06;Oldenburger Münsterland;gering besiedelt;
Thedinghausen;65,79; 8 137; 4 106; 4 031;  124;27321;9,02069;52,961967;G08;Mittelweser;gering besiedelt;
Temnitzquell;65,75;  768;  391;  377;  12;16818;12,645607;53,013421;A02;Ruppiner Seenland;gering besiedelt;
Herrenberg, Stadt;65,70; 31 545; 15 445; 16 100;  480;71083;8,867369;48,595705;L50;Region Stuttgart;mittlere Besiedlungsdichte;
Freiensteinau;65,66; 3 100; 1 537; 1 563;  47;36399;9,403038;50,424409;I10;Vogelsberg und Wetterau;gering besiedelt;
Bobitz;65,64; 2 470; 1 242; 1 228;  38;23996;11,360712;53,803679;B03;Mecklenburgische Ostseeküste;gering besiedelt;
Lohmar, Stadt;65,62; 30 363; 14 892; 15 471;  463;53797;7,209401;50,839775;H08;Bonn und Rhein-Sieg-Kreis;mittlere Besiedlungsdichte;
Frankenberg/Sa., Stadt;65,62; 14 088; 6 968; 7 120;  215;09669;13,030777;50,910034;C07;Sächsisches Burgen- und Heideland;mittlere Besiedlungsdichte;
Werdau, Stadt;65,62; 20 793; 10 299; 10 494;  317;08412;12,378671;50,736044;C06;Erzgebirge;mittlere Besiedlungsdichte;
Ulrichstein, Stadt;65,61; 2 985; 1 516; 1 469;  45;35327;9,192283;50,576648;I10;Vogelsberg und Wetterau;gering besiedelt;
Bad Harzburg, Stadt;65,52; 21 945; 10 219; 11 726;  335;38667;10,560048;51,880275;G13;Harz;mittlere Besiedlungsdichte;
Lindow (Mark), Stadt;65,47; 3 091; 1 566; 1 525;  47;16835;12,986769;52,970129;A02;Ruppiner Seenland;gering besiedelt;
Linnich, Stadt;65,43; 12 593; 6 195; 6 398;  192;52441;6,267275;50,978896;H01;Eifel und Region Aachen;mittlere Besiedlungsdichte;
Planebruch;65,39; 1 025;  533;  492;  16;14822;12,659013;52,259962;A11;Fläming;gering besiedelt;
Dobbin-Linstow;65,39;  482;  261;  221;  7;18292;12,333192;53,616837;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Hallenberg, Stadt;65,35; 4 486; 2 297; 2 189;  69;59969;8,621165;51,111987;H05;Sauerland;gering besiedelt;
Schollene;65,33; 1 179;  601;  578;  18;14715;12,217038;52,677054;D05;Altmark;gering besiedelt;
Achern, Stadt;65,24; 25 630; 12 792; 12 838;  393;77855;8,074429;48,628851;L12;Mittlerer Schwarzwald;mittlere Besiedlungsdichte;
Menslage;65,23; 2 418; 1 253; 1 165;  37;49637;7,818913;52,674882;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;gering besiedelt;
Brunsbüttel, Stadt;65,21; 12 554; 6 294; 6 260;  193;25541;9,13735;53,896932;F01;Nordsee;mittlere Besiedlungsdichte;
Weitnau, M;65,19; 5 334; 2 680; 2 654;  82;87480;10,126481;47,640846;T21;Allgäu;gering besiedelt;
Regen, St;65,14; 11 001; 5 473; 5 528;  169;94209;13,126196;48,970244;T15;Bayerischer Wald;mittlere Besiedlungsdichte;
Berg b.Neumarkt i.d.OPf.;65,12; 7 823; 3 980; 3 843;  120;92348;11,439721;49,331628;T40;Bayerischer Jura;gering besiedelt;
Nideggen, Stadt;65,04; 9 945; 4 902; 5 043;  153;52385;6,485187;50,69097;H01;Eifel und Region Aachen;gering besiedelt;
Lübbecke, Stadt;65,04; 25 490; 12 350; 13 140;  392;32312;8,617351;52,303439;H04;Teutoburger Wald;mittlere Besiedlungsdichte;
Rodgau, Stadt;65,04; 45 202; 22 538; 22 664;  695;63110;8,88533;50,024355;I13;Main und Taunus;mittlere Besiedlungsdichte;
Burghaun, Marktgemeinde;65,04; 6 350; 3 154; 3 196;  98;36151;9,726797;50,697783;I11;Rhön;gering besiedelt;
Gaggenau, Stadt;65,01; 29 777; 14 702; 15 075;  458;76571;8,317525;48,807364;L11;Nördlicher Schwarzwald;mittlere Besiedlungsdichte;
Heimbach, Stadt;64,96; 4 333; 2 185; 2 148;  67;52396;6,480769;50,633398;H01;Eifel und Region Aachen;gering besiedelt;
Riedlingen, Stadt;64,96; 10 528; 5 329; 5 199;  162;88499;9,47504;48,153148;L71;Württembergisches Allgäu Oberschwaben;mittlere Besiedlungsdichte;
Niepars;64,95; 2 480; 1 250; 1 230;  38;18442;12,923481;54,313711;B02;Vorpommern;gering besiedelt;
Stolzenau;64,91; 7 475; 3 653; 3 822;  115;31592;9,06701;52,516507;G08;Mittelweser;gering besiedelt;
Kastl, M;64,88; 2 482; 1 260; 1 222;  38;92280;11,679347;49,368542;T40;Bayerischer Jura;gering besiedelt;
Bad Oeynhausen, Stadt;64,83; 48 702; 23 817; 24 885;  751;32545;8,805514;52,205258;H04;Teutoburger Wald;mittlere Besiedlungsdichte;
